,emotion,file_path,gender,statement
41,happy,./data/engie/Actor_16/03-02-03-01-02-01-16.png,F,Dogs are sitting by the door
42,fearful,./data/engie/Actor_16/03-01-06-02-02-01-16.png,F,Dogs are sitting by the door
43,sad,./data/engie/Actor_16/03-01-04-01-02-01-16.png,F,Dogs are sitting by the door
44,calm,./data/engie/Actor_16/03-02-02-02-02-02-16.png,F,Dogs are sitting by the door
45,disgust,./data/engie/Actor_16/03-01-07-01-02-02-16.png,F,Dogs are sitting by the door
46,disgust,./data/engie/Actor_16/03-01-07-02-01-02-16.png,F,Kids are talking by the door
47,neutral,./data/engie/Actor_16/03-02-01-01-01-01-16.png,F,Kids are talking by the door
48,calm,./data/engie/Actor_16/03-02-02-01-01-02-16.png,F,Kids are talking by the door
49,sad,./data/engie/Actor_16/03-01-04-02-01-01-16.png,F,Kids are talking by the door
50,surprised,./data/engie/Actor_16/03-01-08-02-01-02-16.png,F,Kids are talking by the door
51,surprised,./data/engie/Actor_16/03-01-08-01-02-02-16.png,F,Dogs are sitting by the door
52,sad,./data/engie/Actor_16/03-02-04-02-02-01-16.png,F,Dogs are sitting by the door
53,calm,./data/engie/Actor_16/03-01-02-01-02-02-16.png,F,Dogs are sitting by the door
54,neutral,./data/engie/Actor_16/03-01-01-01-02-01-16.png,F,Dogs are sitting by the door
55,calm,./data/engie/Actor_16/03-01-02-02-01-02-16.png,F,Kids are talking by the door
56,sad,./data/engie/Actor_16/03-02-04-01-01-01-16.png,F,Kids are talking by the door
57,fearful,./data/engie/Actor_16/03-02-06-02-01-01-16.png,F,Kids are talking by the door
58,happy,./data/engie/Actor_16/03-01-03-01-01-01-16.png,F,Kids are talking by the door
59,angry,./data/engie/Actor_16/03-02-05-02-01-02-16.png,F,Kids are talking by the door
60,angry,./data/engie/Actor_16/03-02-05-01-02-02-16.png,F,Dogs are sitting by the door
61,happy,./data/engie/Actor_16/03-01-03-02-02-01-16.png,F,Dogs are sitting by the door
62,fearful,./data/engie/Actor_16/03-02-06-01-02-01-16.png,F,Dogs are sitting by the door
63,neutral,./data/engie/Actor_16/03-02-01-01-02-01-16.png,F,Dogs are sitting by the door
64,disgust,./data/engie/Actor_16/03-01-07-02-02-02-16.png,F,Dogs are sitting by the door
65,sad,./data/engie/Actor_16/03-01-04-02-02-01-16.png,F,Dogs are sitting by the door
66,calm,./data/engie/Actor_16/03-02-02-01-02-02-16.png,F,Dogs are sitting by the door
67,calm,./data/engie/Actor_16/03-02-02-02-01-02-16.png,F,Kids are talking by the door
68,sad,./data/engie/Actor_16/03-01-04-01-01-01-16.png,F,Kids are talking by the door
69,disgust,./data/engie/Actor_16/03-01-07-01-01-02-16.png,F,Kids are talking by the door
70,happy,./data/engie/Actor_16/03-02-03-01-01-01-16.png,F,Kids are talking by the door
71,angry,./data/engie/Actor_16/03-01-05-02-01-02-16.png,F,Kids are talking by the door
72,fearful,./data/engie/Actor_16/03-01-06-02-01-01-16.png,F,Kids are talking by the door
73,fearful,./data/engie/Actor_16/03-01-06-01-02-01-16.png,F,Dogs are sitting by the door
74,angry,./data/engie/Actor_16/03-01-05-01-02-02-16.png,F,Dogs are sitting by the door
75,happy,./data/engie/Actor_16/03-02-03-02-02-01-16.png,F,Dogs are sitting by the door
76,surprised,./data/engie/Actor_16/03-01-08-01-01-02-16.png,F,Kids are talking by the door
77,surprised,./data/engie/Actor_16/03-01-08-02-02-02-16.png,F,Dogs are sitting by the door
78,calm,./data/engie/Actor_16/03-02-02-01-01-01-16.png,F,Kids are talking by the door
79,sad,./data/engie/Actor_16/03-01-04-02-01-02-16.png,F,Kids are talking by the door
80,disgust,./data/engie/Actor_16/03-01-07-02-01-01-16.png,F,Kids are talking by the door
81,neutral,./data/engie/Actor_16/03-02-01-01-01-02-16.png,F,Kids are talking by the door
82,disgust,./data/engie/Actor_16/03-01-07-01-02-01-16.png,F,Dogs are sitting by the door
83,sad,./data/engie/Actor_16/03-01-04-01-02-02-16.png,F,Dogs are sitting by the door
84,calm,./data/engie/Actor_16/03-02-02-02-02-01-16.png,F,Dogs are sitting by the door
85,fearful,./data/engie/Actor_16/03-01-06-02-02-02-16.png,F,Dogs are sitting by the door
86,angry,./data/engie/Actor_16/03-01-05-02-02-01-16.png,F,Dogs are sitting by the door
87,happy,./data/engie/Actor_16/03-02-03-01-02-02-16.png,F,Dogs are sitting by the door
88,happy,./data/engie/Actor_16/03-02-03-02-01-02-16.png,F,Kids are talking by the door
89,angry,./data/engie/Actor_16/03-01-05-01-01-01-16.png,F,Kids are talking by the door
90,fearful,./data/engie/Actor_16/03-01-06-01-01-02-16.png,F,Kids are talking by the door
91,surprised,./data/engie/Actor_16/03-01-08-01-02-01-16.png,F,Dogs are sitting by the door
92,surprised,./data/engie/Actor_16/03-01-08-02-01-01-16.png,F,Kids are talking by the door
93,neutral,./data/engie/Actor_16/03-01-01-01-01-02-16.png,F,Kids are talking by the door
94,calm,./data/engie/Actor_16/03-01-02-01-01-01-16.png,F,Kids are talking by the door
95,sad,./data/engie/Actor_16/03-02-04-02-01-02-16.png,F,Kids are talking by the door
96,sad,./data/engie/Actor_16/03-02-04-01-02-02-16.png,F,Dogs are sitting by the door
97,calm,./data/engie/Actor_16/03-01-02-02-02-01-16.png,F,Dogs are sitting by the door
98,angry,./data/engie/Actor_16/03-02-05-02-02-01-16.png,F,Dogs are sitting by the door
99,happy,./data/engie/Actor_16/03-01-03-01-02-02-16.png,F,Dogs are sitting by the door
100,fearful,./data/engie/Actor_16/03-02-06-02-02-02-16.png,F,Dogs are sitting by the door
101,fearful,./data/engie/Actor_16/03-02-06-01-01-02-16.png,F,Kids are talking by the door
102,happy,./data/engie/Actor_16/03-01-03-02-01-02-16.png,F,Kids are talking by the door
103,angry,./data/engie/Actor_16/03-02-05-01-01-01-16.png,F,Kids are talking by the door
104,neutral,./data/engie/Actor_11/03-01-01-01-02-02-11.png,M,Dogs are sitting by the door
105,sad,./data/engie/Actor_11/03-02-04-02-02-02-11.png,M,Dogs are sitting by the door
106,calm,./data/engie/Actor_11/03-01-02-01-02-01-11.png,M,Dogs are sitting by the door
107,calm,./data/engie/Actor_11/03-01-02-02-01-01-11.png,M,Kids are talking by the door
108,sad,./data/engie/Actor_11/03-02-04-01-01-02-11.png,M,Kids are talking by the door
109,happy,./data/engie/Actor_11/03-01-03-01-01-02-11.png,M,Kids are talking by the door
110,angry,./data/engie/Actor_11/03-02-05-02-01-01-11.png,M,Kids are talking by the door
111,fearful,./data/engie/Actor_11/03-02-06-02-01-02-11.png,M,Kids are talking by the door
112,fearful,./data/engie/Actor_11/03-02-06-01-02-02-11.png,M,Dogs are sitting by the door
113,angry,./data/engie/Actor_11/03-02-05-01-02-01-11.png,M,Dogs are sitting by the door
114,happy,./data/engie/Actor_11/03-01-03-02-02-02-11.png,M,Dogs are sitting by the door
115,sad,./data/engie/Actor_11/03-01-04-02-02-02-11.png,M,Dogs are sitting by the door
116,calm,./data/engie/Actor_11/03-02-02-01-02-01-11.png,M,Dogs are sitting by the door
117,neutral,./data/engie/Actor_11/03-02-01-01-02-02-11.png,M,Dogs are sitting by the door
118,disgust,./data/engie/Actor_11/03-01-07-02-02-01-11.png,M,Dogs are sitting by the door
119,disgust,./data/engie/Actor_11/03-01-07-01-01-01-11.png,M,Kids are talking by the door
120,calm,./data/engie/Actor_11/03-02-02-02-01-01-11.png,M,Kids are talking by the door
121,sad,./data/engie/Actor_11/03-01-04-01-01-02-11.png,M,Kids are talking by the door
122,fearful,./data/engie/Actor_11/03-01-06-02-01-02-11.png,M,Kids are talking by the door
123,happy,./data/engie/Actor_11/03-02-03-01-01-02-11.png,M,Kids are talking by the door
124,angry,./data/engie/Actor_11/03-01-05-02-01-01-11.png,M,Kids are talking by the door
125,angry,./data/engie/Actor_11/03-01-05-01-02-01-11.png,M,Dogs are sitting by the door
126,happy,./data/engie/Actor_11/03-02-03-02-02-02-11.png,M,Dogs are sitting by the door
127,fearful,./data/engie/Actor_11/03-01-06-01-02-02-11.png,M,Dogs are sitting by the door
128,surprised,./data/engie/Actor_11/03-01-08-01-01-01-11.png,M,Kids are talking by the door
129,surprised,./data/engie/Actor_11/03-01-08-02-02-01-11.png,M,Dogs are sitting by the door
130,disgust,./data/engie/Actor_11/03-01-07-02-01-02-11.png,M,Kids are talking by the door
131,neutral,./data/engie/Actor_11/03-02-01-01-01-01-11.png,M,Kids are talking by the door
132,calm,./data/engie/Actor_11/03-02-02-01-01-02-11.png,M,Kids are talking by the door
133,sad,./data/engie/Actor_11/03-01-04-02-01-01-11.png,M,Kids are talking by the door
134,sad,./data/engie/Actor_11/03-01-04-01-02-01-11.png,M,Dogs are sitting by the door
135,calm,./data/engie/Actor_11/03-02-02-02-02-02-11.png,M,Dogs are sitting by the door
136,disgust,./data/engie/Actor_11/03-01-07-01-02-02-11.png,M,Dogs are sitting by the door
137,angry,./data/engie/Actor_11/03-01-05-02-02-02-11.png,M,Dogs are sitting by the door
138,happy,./data/engie/Actor_11/03-02-03-01-02-01-11.png,M,Dogs are sitting by the door
139,fearful,./data/engie/Actor_11/03-01-06-02-02-01-11.png,M,Dogs are sitting by the door
140,fearful,./data/engie/Actor_11/03-01-06-01-01-01-11.png,M,Kids are talking by the door
141,happy,./data/engie/Actor_11/03-02-03-02-01-01-11.png,M,Kids are talking by the door
142,angry,./data/engie/Actor_11/03-01-05-01-01-02-11.png,M,Kids are talking by the door
143,surprised,./data/engie/Actor_11/03-01-08-01-02-02-11.png,M,Dogs are sitting by the door
144,surprised,./data/engie/Actor_11/03-01-08-02-01-02-11.png,M,Kids are talking by the door
145,calm,./data/engie/Actor_11/03-01-02-01-01-02-11.png,M,Kids are talking by the door
146,sad,./data/engie/Actor_11/03-02-04-02-01-01-11.png,M,Kids are talking by the door
147,neutral,./data/engie/Actor_11/03-01-01-01-01-01-11.png,M,Kids are talking by the door
148,sad,./data/engie/Actor_11/03-02-04-01-02-01-11.png,M,Dogs are sitting by the door
149,calm,./data/engie/Actor_11/03-01-02-02-02-02-11.png,M,Dogs are sitting by the door
150,fearful,./data/engie/Actor_11/03-02-06-02-02-01-11.png,M,Dogs are sitting by the door
151,angry,./data/engie/Actor_11/03-02-05-02-02-02-11.png,M,Dogs are sitting by the door
152,happy,./data/engie/Actor_11/03-01-03-01-02-01-11.png,M,Dogs are sitting by the door
153,happy,./data/engie/Actor_11/03-01-03-02-01-01-11.png,M,Kids are talking by the door
154,angry,./data/engie/Actor_11/03-02-05-01-01-02-11.png,M,Kids are talking by the door
155,fearful,./data/engie/Actor_11/03-02-06-01-01-01-11.png,M,Kids are talking by the door
156,fearful,./data/engie/Actor_11/03-01-06-01-02-01-11.png,M,Dogs are sitting by the door
157,angry,./data/engie/Actor_11/03-01-05-01-02-02-11.png,M,Dogs are sitting by the door
158,happy,./data/engie/Actor_11/03-02-03-02-02-01-11.png,M,Dogs are sitting by the door
159,happy,./data/engie/Actor_11/03-02-03-01-01-01-11.png,M,Kids are talking by the door
160,angry,./data/engie/Actor_11/03-01-05-02-01-02-11.png,M,Kids are talking by the door
161,fearful,./data/engie/Actor_11/03-01-06-02-01-01-11.png,M,Kids are talking by the door
162,calm,./data/engie/Actor_11/03-02-02-02-01-02-11.png,M,Kids are talking by the door
163,sad,./data/engie/Actor_11/03-01-04-01-01-01-11.png,M,Kids are talking by the door
164,disgust,./data/engie/Actor_11/03-01-07-01-01-02-11.png,M,Kids are talking by the door
165,neutral,./data/engie/Actor_11/03-02-01-01-02-01-11.png,M,Dogs are sitting by the door
166,disgust,./data/engie/Actor_11/03-01-07-02-02-02-11.png,M,Dogs are sitting by the door
167,sad,./data/engie/Actor_11/03-01-04-02-02-01-11.png,M,Dogs are sitting by the door
168,calm,./data/engie/Actor_11/03-02-02-01-02-02-11.png,M,Dogs are sitting by the door
169,surprised,./data/engie/Actor_11/03-01-08-02-02-02-11.png,M,Dogs are sitting by the door
170,surprised,./data/engie/Actor_11/03-01-08-01-01-02-11.png,M,Kids are talking by the door
171,angry,./data/engie/Actor_11/03-02-05-01-02-02-11.png,M,Dogs are sitting by the door
172,happy,./data/engie/Actor_11/03-01-03-02-02-01-11.png,M,Dogs are sitting by the door
173,fearful,./data/engie/Actor_11/03-02-06-01-02-01-11.png,M,Dogs are sitting by the door
174,fearful,./data/engie/Actor_11/03-02-06-02-01-01-11.png,M,Kids are talking by the door
175,happy,./data/engie/Actor_11/03-01-03-01-01-01-11.png,M,Kids are talking by the door
176,angry,./data/engie/Actor_11/03-02-05-02-01-02-11.png,M,Kids are talking by the door
177,calm,./data/engie/Actor_11/03-01-02-02-01-02-11.png,M,Kids are talking by the door
178,sad,./data/engie/Actor_11/03-02-04-01-01-01-11.png,M,Kids are talking by the door
179,sad,./data/engie/Actor_11/03-02-04-02-02-01-11.png,M,Dogs are sitting by the door
180,calm,./data/engie/Actor_11/03-01-02-01-02-02-11.png,M,Dogs are sitting by the door
181,neutral,./data/engie/Actor_11/03-01-01-01-02-01-11.png,M,Dogs are sitting by the door
182,fearful,./data/engie/Actor_11/03-02-06-01-01-02-11.png,M,Kids are talking by the door
183,happy,./data/engie/Actor_11/03-01-03-02-01-02-11.png,M,Kids are talking by the door
184,angry,./data/engie/Actor_11/03-02-05-01-01-01-11.png,M,Kids are talking by the door
185,angry,./data/engie/Actor_11/03-02-05-02-02-01-11.png,M,Dogs are sitting by the door
186,happy,./data/engie/Actor_11/03-01-03-01-02-02-11.png,M,Dogs are sitting by the door
187,fearful,./data/engie/Actor_11/03-02-06-02-02-02-11.png,M,Dogs are sitting by the door
188,sad,./data/engie/Actor_11/03-02-04-01-02-02-11.png,M,Dogs are sitting by the door
189,calm,./data/engie/Actor_11/03-01-02-02-02-01-11.png,M,Dogs are sitting by the door
190,neutral,./data/engie/Actor_11/03-01-01-01-01-02-11.png,M,Kids are talking by the door
191,calm,./data/engie/Actor_11/03-01-02-01-01-01-11.png,M,Kids are talking by the door
192,sad,./data/engie/Actor_11/03-02-04-02-01-02-11.png,M,Kids are talking by the door
193,happy,./data/engie/Actor_11/03-02-03-02-01-02-11.png,M,Kids are talking by the door
194,angry,./data/engie/Actor_11/03-01-05-01-01-01-11.png,M,Kids are talking by the door
195,fearful,./data/engie/Actor_11/03-01-06-01-01-02-11.png,M,Kids are talking by the door
196,fearful,./data/engie/Actor_11/03-01-06-02-02-02-11.png,M,Dogs are sitting by the door
197,angry,./data/engie/Actor_11/03-01-05-02-02-01-11.png,M,Dogs are sitting by the door
198,happy,./data/engie/Actor_11/03-02-03-01-02-02-11.png,M,Dogs are sitting by the door
199,disgust,./data/engie/Actor_11/03-01-07-01-02-01-11.png,M,Dogs are sitting by the door
200,sad,./data/engie/Actor_11/03-01-04-01-02-02-11.png,M,Dogs are sitting by the door
201,calm,./data/engie/Actor_11/03-02-02-02-02-01-11.png,M,Dogs are sitting by the door
202,calm,./data/engie/Actor_11/03-02-02-01-01-01-11.png,M,Kids are talking by the door
203,sad,./data/engie/Actor_11/03-01-04-02-01-02-11.png,M,Kids are talking by the door
204,disgust,./data/engie/Actor_11/03-01-07-02-01-01-11.png,M,Kids are talking by the door
205,neutral,./data/engie/Actor_11/03-02-01-01-01-02-11.png,M,Kids are talking by the door
206,surprised,./data/engie/Actor_11/03-01-08-02-01-01-11.png,M,Kids are talking by the door
207,surprised,./data/engie/Actor_11/03-01-08-01-02-01-11.png,M,Dogs are sitting by the door
208,happy,./data/engie/Actor_18/03-01-03-02-01-02-18.png,F,Kids are talking by the door
209,happy,./data/engie/Actor_18/03-01-03-01-02-02-18.png,F,Dogs are sitting by the door
210,calm,./data/engie/Actor_18/03-01-02-02-02-01-18.png,F,Dogs are sitting by the door
211,calm,./data/engie/Actor_18/03-01-02-01-01-01-18.png,F,Kids are talking by the door
212,neutral,./data/engie/Actor_18/03-01-01-01-01-02-18.png,F,Kids are talking by the door
213,fearful,./data/engie/Actor_18/03-01-06-01-01-02-18.png,F,Kids are talking by the door
214,angry,./data/engie/Actor_18/03-01-05-01-01-01-18.png,F,Kids are talking by the door
215,angry,./data/engie/Actor_18/03-01-05-02-02-01-18.png,F,Dogs are sitting by the door
216,fearful,./data/engie/Actor_18/03-01-06-02-02-02-18.png,F,Dogs are sitting by the door
217,sad,./data/engie/Actor_18/03-01-04-01-02-02-18.png,F,Dogs are sitting by the door
218,disgust,./data/engie/Actor_18/03-01-07-01-02-01-18.png,F,Dogs are sitting by the door
219,disgust,./data/engie/Actor_18/03-01-07-02-01-01-18.png,F,Kids are talking by the door
220,sad,./data/engie/Actor_18/03-01-04-02-01-02-18.png,F,Kids are talking by the door
221,surprised,./data/engie/Actor_18/03-01-08-02-01-01-18.png,F,Kids are talking by the door
222,surprised,./data/engie/Actor_18/03-01-08-01-02-01-18.png,F,Dogs are sitting by the door
223,angry,./data/engie/Actor_18/03-01-05-01-02-02-18.png,F,Dogs are sitting by the door
224,fearful,./data/engie/Actor_18/03-01-06-01-02-01-18.png,F,Dogs are sitting by the door
225,fearful,./data/engie/Actor_18/03-01-06-02-01-01-18.png,F,Kids are talking by the door
226,angry,./data/engie/Actor_18/03-01-05-02-01-02-18.png,F,Kids are talking by the door
227,disgust,./data/engie/Actor_18/03-01-07-01-01-02-18.png,F,Kids are talking by the door
228,sad,./data/engie/Actor_18/03-01-04-01-01-01-18.png,F,Kids are talking by the door
229,sad,./data/engie/Actor_18/03-01-04-02-02-01-18.png,F,Dogs are sitting by the door
230,disgust,./data/engie/Actor_18/03-01-07-02-02-02-18.png,F,Dogs are sitting by the door
231,surprised,./data/engie/Actor_18/03-01-08-02-02-02-18.png,F,Dogs are sitting by the door
232,surprised,./data/engie/Actor_18/03-01-08-01-01-02-18.png,F,Kids are talking by the door
233,happy,./data/engie/Actor_18/03-01-03-02-02-01-18.png,F,Dogs are sitting by the door
234,happy,./data/engie/Actor_18/03-01-03-01-01-01-18.png,F,Kids are talking by the door
235,calm,./data/engie/Actor_18/03-01-02-02-01-02-18.png,F,Kids are talking by the door
236,neutral,./data/engie/Actor_18/03-01-01-01-02-01-18.png,F,Dogs are sitting by the door
237,calm,./data/engie/Actor_18/03-01-02-01-02-02-18.png,F,Dogs are sitting by the door
238,sad,./data/engie/Actor_18/03-01-04-02-01-01-18.png,F,Kids are talking by the door
239,disgust,./data/engie/Actor_18/03-01-07-02-01-02-18.png,F,Kids are talking by the door
240,disgust,./data/engie/Actor_18/03-01-07-01-02-02-18.png,F,Dogs are sitting by the door
241,sad,./data/engie/Actor_18/03-01-04-01-02-01-18.png,F,Dogs are sitting by the door
242,fearful,./data/engie/Actor_18/03-01-06-02-02-01-18.png,F,Dogs are sitting by the door
243,angry,./data/engie/Actor_18/03-01-05-02-02-02-18.png,F,Dogs are sitting by the door
244,angry,./data/engie/Actor_18/03-01-05-01-01-02-18.png,F,Kids are talking by the door
245,fearful,./data/engie/Actor_18/03-01-06-01-01-01-18.png,F,Kids are talking by the door
246,surprised,./data/engie/Actor_18/03-01-08-01-02-02-18.png,F,Dogs are sitting by the door
247,surprised,./data/engie/Actor_18/03-01-08-02-01-02-18.png,F,Kids are talking by the door
248,neutral,./data/engie/Actor_18/03-01-01-01-01-01-18.png,F,Kids are talking by the door
249,calm,./data/engie/Actor_18/03-01-02-01-01-02-18.png,F,Kids are talking by the door
250,calm,./data/engie/Actor_18/03-01-02-02-02-02-18.png,F,Dogs are sitting by the door
251,happy,./data/engie/Actor_18/03-01-03-01-02-01-18.png,F,Dogs are sitting by the door
252,happy,./data/engie/Actor_18/03-01-03-02-01-01-18.png,F,Kids are talking by the door
253,calm,./data/engie/Actor_18/03-01-02-01-02-01-18.png,F,Dogs are sitting by the door
254,neutral,./data/engie/Actor_18/03-01-01-01-02-02-18.png,F,Dogs are sitting by the door
255,calm,./data/engie/Actor_18/03-01-02-02-01-01-18.png,F,Kids are talking by the door
256,happy,./data/engie/Actor_18/03-01-03-01-01-02-18.png,F,Kids are talking by the door
257,happy,./data/engie/Actor_18/03-01-03-02-02-02-18.png,F,Dogs are sitting by the door
258,disgust,./data/engie/Actor_18/03-01-07-02-02-01-18.png,F,Dogs are sitting by the door
259,sad,./data/engie/Actor_18/03-01-04-02-02-02-18.png,F,Dogs are sitting by the door
260,sad,./data/engie/Actor_18/03-01-04-01-01-02-18.png,F,Kids are talking by the door
261,disgust,./data/engie/Actor_18/03-01-07-01-01-01-18.png,F,Kids are talking by the door
262,angry,./data/engie/Actor_18/03-01-05-02-01-01-18.png,F,Kids are talking by the door
263,fearful,./data/engie/Actor_18/03-01-06-02-01-02-18.png,F,Kids are talking by the door
264,fearful,./data/engie/Actor_18/03-01-06-01-02-02-18.png,F,Dogs are sitting by the door
265,angry,./data/engie/Actor_18/03-01-05-01-02-01-18.png,F,Dogs are sitting by the door
266,surprised,./data/engie/Actor_18/03-01-08-01-01-01-18.png,F,Kids are talking by the door
267,surprised,./data/engie/Actor_18/03-01-08-02-02-01-18.png,F,Dogs are sitting by the door
268,surprised,./data/engie/Actor_20/03-01-08-01-02-01-20.png,F,Dogs are sitting by the door
269,surprised,./data/engie/Actor_20/03-01-08-02-01-01-20.png,F,Kids are talking by the door
270,calm,./data/engie/Actor_20/03-02-02-01-01-01-20.png,F,Kids are talking by the door
271,sad,./data/engie/Actor_20/03-01-04-02-01-02-20.png,F,Kids are talking by the door
272,disgust,./data/engie/Actor_20/03-01-07-02-01-01-20.png,F,Kids are talking by the door
273,neutral,./data/engie/Actor_20/03-02-01-01-01-02-20.png,F,Kids are talking by the door
274,disgust,./data/engie/Actor_20/03-01-07-01-02-01-20.png,F,Dogs are sitting by the door
275,sad,./data/engie/Actor_20/03-01-04-01-02-02-20.png,F,Dogs are sitting by the door
276,calm,./data/engie/Actor_20/03-02-02-02-02-01-20.png,F,Dogs are sitting by the door
277,fearful,./data/engie/Actor_20/03-01-06-02-02-02-20.png,F,Dogs are sitting by the door
278,angry,./data/engie/Actor_20/03-01-05-02-02-01-20.png,F,Dogs are sitting by the door
279,happy,./data/engie/Actor_20/03-02-03-01-02-02-20.png,F,Dogs are sitting by the door
280,happy,./data/engie/Actor_20/03-02-03-02-01-02-20.png,F,Kids are talking by the door
281,angry,./data/engie/Actor_20/03-01-05-01-01-01-20.png,F,Kids are talking by the door
282,fearful,./data/engie/Actor_20/03-01-06-01-01-02-20.png,F,Kids are talking by the door
283,neutral,./data/engie/Actor_20/03-01-01-01-01-02-20.png,F,Kids are talking by the door
284,calm,./data/engie/Actor_20/03-01-02-01-01-01-20.png,F,Kids are talking by the door
285,sad,./data/engie/Actor_20/03-02-04-02-01-02-20.png,F,Kids are talking by the door
286,sad,./data/engie/Actor_20/03-02-04-01-02-02-20.png,F,Dogs are sitting by the door
287,calm,./data/engie/Actor_20/03-01-02-02-02-01-20.png,F,Dogs are sitting by the door
288,angry,./data/engie/Actor_20/03-02-05-02-02-01-20.png,F,Dogs are sitting by the door
289,happy,./data/engie/Actor_20/03-01-03-01-02-02-20.png,F,Dogs are sitting by the door
290,fearful,./data/engie/Actor_20/03-02-06-02-02-02-20.png,F,Dogs are sitting by the door
291,fearful,./data/engie/Actor_20/03-02-06-01-01-02-20.png,F,Kids are talking by the door
292,happy,./data/engie/Actor_20/03-01-03-02-01-02-20.png,F,Kids are talking by the door
293,angry,./data/engie/Actor_20/03-02-05-01-01-01-20.png,F,Kids are talking by the door
294,sad,./data/engie/Actor_20/03-02-04-02-02-01-20.png,F,Dogs are sitting by the door
295,calm,./data/engie/Actor_20/03-01-02-01-02-02-20.png,F,Dogs are sitting by the door
296,neutral,./data/engie/Actor_20/03-01-01-01-02-01-20.png,F,Dogs are sitting by the door
297,calm,./data/engie/Actor_20/03-01-02-02-01-02-20.png,F,Kids are talking by the door
298,sad,./data/engie/Actor_20/03-02-04-01-01-01-20.png,F,Kids are talking by the door
299,fearful,./data/engie/Actor_20/03-02-06-02-01-01-20.png,F,Kids are talking by the door
300,happy,./data/engie/Actor_20/03-01-03-01-01-01-20.png,F,Kids are talking by the door
